lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-09-26 13:17:44.712269,0.1952691674232483,0.0008074651123024523,0.1952691674232483,1599.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:18:10.511779,,,,,,,,,,,,,,
,2022-09-26 13:18:11.053174,0.008804293349385262,4.419749166117981e-05,0.008804293349385262,1649.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:18:36.898679,,,,,,,,,,,,,,
,2022-09-26 13:18:37.416712,0.10801658034324646,0.00036524212919175625,0.10801658034324646,1699.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:19:03.192894,,,,,,,,,,,,,,
,2022-09-26 13:19:03.713320,0.0046489364467561245,2.4266877517220564e-05,0.0046489364467561245,1749.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:19:29.608312,,,,,,,,,,,,,,
,2022-09-26 13:19:30.128898,0.19131410121917725,0.0007714172243140638,0.19131410121917725,1799.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:19:55.942862,,,,,,,,,,,,,,
,2022-09-26 13:19:56.462754,0.02412368543446064,0.00010257949179504067,0.02412368543446064,1849.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:20:22.299848,,,,,,,,,,,,,,
,2022-09-26 13:20:22.855534,0.03088373690843582,0.00011947154416702688,0.03088373690843582,1899.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:20:48.700206,,,,,,,,,,,,,,
,2022-09-26 13:20:49.220978,0.00910237617790699,4.452645225683227e-05,0.00910237617790699,1949.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:21:15.073298,,,,,,,,,,,,,,
,2022-09-26 13:21:45.824349,0.08204910904169083,0.00027199715259484947,0.08204910904169083,1999.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:22:11.630422,,,,,,,,,,,,,,
,2022-09-26 13:22:12.150838,0.002578649902716279,1.491911280027125e-05,0.002578649902716279,2049.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:22:38.047718,,,,,,,,,,,,,,
,2022-09-26 13:22:38.568353,0.29987239837646484,0.0014573681401088834,0.29987239837646484,2099.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:23:04.457075,,,,,,,,,,,,,,
,2022-09-26 13:23:04.976676,0.11774890124797821,0.00038775100256316364,0.11774890124797821,2149.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:23:30.858666,,,,,,,,,,,,,,
,2022-09-26 13:23:31.377850,0.07858338952064514,0.00026222257292829454,0.07858338952064514,2199.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:23:57.225303,,,,,,,,,,,,,,
,2022-09-26 13:23:57.745821,0.22963175177574158,0.001280284603126347,0.22963175177574158,2249.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:24:23.584875,,,,,,,,,,,,,,
,2022-09-26 13:24:24.105684,0.009069438092410564,4.386035288916901e-05,0.009069438092410564,2299.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:24:49.928858,,,,,,,,,,,,,,
,2022-09-26 13:24:50.449969,0.028236601501703262,0.00011238457955187187,0.028236601501703262,2349.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:25:16.315442,,,,,,,,,,,,,,
,2022-09-26 13:25:16.834127,0.03989047557115555,0.0001435406447853893,0.03989047557115555,2399.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:25:42.708369,,,,,,,,,,,,,,
,2022-09-26 13:25:43.228531,0.10879245400428772,0.00035847615799866617,0.10879245400428772,2449.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:26:09.046558,,,,,,,,,,,,,,
,2022-09-26 13:26:39.245988,0.07959866523742676,0.0002650534443091601,0.07959866523742676,2499.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:27:05.098986,,,,,,,,,,,,,,
,2022-09-26 13:27:05.620895,0.10147766768932343,0.0003359842812642455,0.10147766768932343,2549.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:27:31.434731,,,,,,,,,,,,,,
,2022-09-26 13:27:31.985069,0.17888577282428741,0.0006604429800063372,0.17888577282428741,2599.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:27:57.784593,,,,,,,,,,,,,,
,2022-09-26 13:27:58.304927,0.012186484411358833,5.834914918523282e-05,0.012186484411358833,2649.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:28:24.179009,,,,,,,,,,,,,,
,2022-09-26 13:28:24.699064,0.046299342066049576,0.00016583575052209198,0.046299342066049576,2699.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:28:50.552618,,,,,,,,,,,,,,
,2022-09-26 13:28:51.073224,0.2597108483314514,0.0014980024425312877,0.2597108483314514,2749.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:29:16.959647,,,,,,,,,,,,,,
,2022-09-26 13:29:17.483351,0.023683371022343636,0.00010191930778091773,0.023683371022343636,2799.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:29:43.355969,,,,,,,,,,,,,,
,2022-09-26 13:29:43.908938,0.015351399779319763,7.298210402950644e-05,0.015351399779319763,2849.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:30:09.792558,,,,,,,,,,,,,,
,2022-09-26 13:30:10.311353,0.04497385770082474,0.0001570184831507504,0.04497385770082474,2899.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:30:36.066240,,,,,,,,,,,,,,
,2022-09-26 13:30:36.587329,0.12795065343379974,0.0004234870139043778,0.12795065343379974,2949.0,0.0,,,,,,,,,
0.0005,2022-09-26 13:31:02.472292,,,,,,,,,,,,,,
